project_name,domain,description,technologies,difficulty,dataset,learning_topics
Transfer Learning Benchmark,Machine Learning,"Compare fine-tuning strategies across ResNet, EfficientNet, and ViT on a domain-specific image dataset.",Python PyTorch TensorFlow Scikit-learn,Beginner,Kaggle Dataset,Deep Learning
Chess AI Engine,AI,Build a chess-playing AI using Monte Carlo Tree Search and a policy-value neural network.,Python PyTorch NumPy Chess,Advanced,Research Dataset,Deep Learning
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Intermediate,Open Dataset,Recommendation Systems
Stock Price Forecaster,Data Science,Forecast next-day stock closing prices using LSTM networks trained on OHLCV market data.,Python TensorFlow Pandas Matplotlib,Beginner,Research Dataset,Time Series
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Advanced,Open Dataset,Regression
Drug-Drug Interaction Predictor,Machine Learning,Predict harmful drug interactions using graph neural networks on molecular structure embeddings.,Python PyTorch DGL Pandas,Intermediate,Government Dataset,Deep Learning
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Beginner,Open Dataset,Deep Learning
Brain Tumor Segmentation,Computer Vision,Segment brain MRI scans to localise and grade tumour regions using U-Net architecture.,Python PyTorch OpenCV Scikit-learn,Beginner,Web-Scraped Dataset,Computer Vision
Crop Disease Diagnosis App,Computer Vision,Identify crop diseases from leaf images in the field using a lightweight MobileNet model for edge deployment.,Python TensorFlow Lite OpenCV Pandas,Intermediate,API-Collected Dataset,Computer Vision
Network Intrusion Detector,Machine Learning,Detect network intrusions and attacks from packet-level features using random forest on CICIDS dataset.,Python Scikit-learn XGBoost Pandas,Intermediate,Kaggle Dataset,Classification
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Beginner,Public Dataset,Regression
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Intermediate,Research Dataset,Natural Language Processing
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Beginner,Kaggle Dataset,Natural Language Processing
Influencer Engagement Predictor,Data Science,"Predict Instagram post engagement rate from caption features, hashtags, and posting time.",Python Scikit-learn Pandas Matplotlib,Advanced,Research Dataset,Regression
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Intermediate,Government Dataset,Classification
Sports Outcome Predictor,Machine Learning,"Predict football match outcomes using Elo ratings, form indices, and poisson goal models.",Python Scikit-learn Pandas NumPy,Beginner,Synthetic Dataset,Classification
Diabetic Retinopathy Detector,Computer Vision,Detect diabetic retinopathy in fundus images using convolutional neural networks to assist ophthalmologists.,Python TensorFlow Keras OpenCV,Intermediate,Web-Scraped Dataset,Computer Vision
Water Quality Predictor,Data Science,Predict water potability from chemical sensor readings using random forest with cross-validated accuracy.,Python Scikit-learn Pandas Matplotlib,Advanced,Synthetic Dataset,Classification
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Intermediate,Research Dataset,Classification
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Advanced,Public Dataset,Recommendation Systems
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Advanced,API-Collected Dataset,Regression
Automatic Essay Grader,NLP,"Score student essays on coherence, grammar, and content using BERT embeddings and regression.",Python Transformers Scikit-learn Pandas,Beginner,Synthetic Dataset,Natural Language Processing
Product Recommendation Engine,Machine Learning,Build a collaborative-filtering recommender that suggests products based on user purchase history.,Python Scikit-learn Surprise Pandas,Beginner,Synthetic Dataset,Recommendation Systems
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Intermediate,Public Dataset,Classification
Ride-Sharing Demand Forecaster,Data Science,Forecast ride-share demand at zone-hour level using spatio-temporal LSTM on NYC taxi data.,Python TensorFlow Pandas Folium,Beginner,API-Collected Dataset,Time Series
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Intermediate,Public Dataset,Regression
Dynamic Pricing Optimiser,Data Science,Optimise product pricing in real time using demand elasticity models and contextual bandit algorithms.,Python Scikit-learn NumPy Pandas,Advanced,Synthetic Dataset,Regression
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Beginner,Web-Scraped Dataset,Time Series
Interview Performance Scorer,NLP,"Score candidate interview responses using sentiment, coherence, and keyword analysis with BERT.",Python Transformers HuggingFace Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
Ride-Sharing Demand Forecaster,Data Science,Forecast ride-share demand at zone-hour level using spatio-temporal LSTM on NYC taxi data.,Python TensorFlow Pandas Folium,Intermediate,Public Dataset,Time Series
Face Recognition Access System,Computer Vision,Build a face-recognition attendance system using FaceNet embeddings and cosine similarity matching.,Python TensorFlow OpenCV DeepFace,Advanced,Synthetic Dataset,Computer Vision
Plagiarism Detector,NLP,Detect text plagiarism using sentence embeddings (SBERT) and cosine similarity at paragraph level.,Python Transformers Scikit-learn Pandas,Intermediate,Research Dataset,Natural Language Processing
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Beginner,Government Dataset,Deep Learning
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Intermediate,Web-Scraped Dataset,Natural Language Processing
Retail Sales Forecaster,Data Science,"Forecast store-level weekly sales using LightGBM with lag features, holidays, and weather data.",Python LightGBM Pandas Prophet,Advanced,API-Collected Dataset,Time Series
Interview Performance Scorer,NLP,"Score candidate interview responses using sentiment, coherence, and keyword analysis with BERT.",Python Transformers HuggingFace Pandas,Intermediate,API-Collected Dataset,Natural Language Processing
Text-to-Image Concept Explorer,Computer Vision,Fine-tune a diffusion model on a custom concept dataset and generate novel images from text prompts.,Python Diffusers HuggingFace PyTorch,Intermediate,Kaggle Dataset,Deep Learning
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Intermediate,Synthetic Dataset,Classification
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Advanced,Research Dataset,Computer Vision
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Beginner,Open Dataset,Time Series
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Advanced,Public Dataset,Computer Vision
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Intermediate,Public Dataset,Natural Language Processing
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Intermediate,Kaggle Dataset,Natural Language Processing
Multi-Task Learning Framework,Deep Learning,Train a shared backbone network on multiple related NLP tasks simultaneously with task-specific heads.,Python PyTorch Transformers HuggingFace,Advanced,Open Dataset,Deep Learning
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Beginner,Government Dataset,Classification
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Advanced,API-Collected Dataset,Natural Language Processing
ImageNet Style Transfer App,Computer Vision,Apply artistic styles to photos using neural style transfer with VGG-19 and Gram matrix optimisation.,Python PyTorch TensorFlow OpenCV,Intermediate,Public Dataset,Deep Learning
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Advanced,Synthetic Dataset,Recommendation Systems
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Advanced,Synthetic Dataset,Deep Learning
Crop Disease Diagnosis App,Computer Vision,Identify crop diseases from leaf images in the field using a lightweight MobileNet model for edge deployment.,Python TensorFlow Lite OpenCV Pandas,Intermediate,Government Dataset,Computer Vision
